,name,email,region_type,address,roll_no,phone_no,age,motor_vehicle_type
0,Sheila Mills,dbrown@example.net,"192 Walker Stravenue Apt. 517
Lindseyburgh, MH 63127",5794.0,001-223-922-1312,,Car,JP Nagar
1,Carl Salinas,howen@example.com,"0809 Nathan Villages
Alecview, TN 66451",4775.0,001-675-611-4328x8226,37.0,Truck,JP Nagar
2,Michelle Johnson,mhendrix@example.com,"773 Krueger Drive Suite 489
West Ian, MS 71439",520.0,001-228-209-0936x4384,39.0,Bus,Bellandur
3,Douglas Wagner,slambert@example.com,"207 Smith Groves
Ellisshire, PR 57870",4318.0,588.587.9627x27443,,,Bellandur
4,Randall Cook,robert74@example.net,"6777 Kimberly Views Apt. 882
South Danielle, VT 41678",5998.0,4375665733,20.0,,Koramangalla
5,Richard Edwards,,"289 Campbell Grove Apt. 354
South Jonathan, OH 90124",5716.0,(449)636-9607x05458,38.0,Car,JP Nagar
6,Kelly Rivera,christopher09@example.net,"59307 Amy Club
South Ronald, NV 13772",8218.0,,64.0,Truck,Bellandur
7,Michael Patel,simsmary@example.org,"43372 Wayne Estates Apt. 070
Christinahaven, MI 15683",11.0,697-706-2612,65.0,Car,Bellandur
8,Scott Sullivan,eileen21@example.net,"1732 Paul Mountains Suite 047
West Johnmouth, NJ 06939",5914.0,+1-308-358-2593x44542,50.0,Scooter,
9,Todd Collins,stephensontyler@example.net,"2307 Jonathan Crest Apt. 193
West Cory, OK 64876",6848.0,766-875-5950x920,56.0,Bike,JP Nagar
10,Brian Sawyer,xochoa@example.org,"907 John Falls
Alfredbury, DC 70845",136.0,(903)527-2725x831,42.0,,Bellandur
11,Alvin Murray,,"PSC 6317, Box 0719
APO AA 22150",3574.0,,42.0,Bus,JP Nagar
12,Joshua Melton,amy26@example.net,,661.0,6918788306,36.0,Bus,
13,David Heath,robertcox@example.org,"PSC 8818, Box 2500
APO AA 38289",4651.0,484-890-9187x3580,36.0,Car,Silkboard
14,Jonathan Walker,,"Unit 9276 Box 3252
DPO AP 19969",422.0,(864)227-4750x7810,21.0,Scooter,
15,John Green,johngray@example.com,"844 John Plains
Nicholasview, DC 68904",4601.0,+1-440-772-2334x212,56.0,Bike,JP Nagar
16,Samantha Bailey,timothy13@example.org,"382 Charles Fall
North Leahland, SC 07859",9170.0,942.248.5836x93448,28.0,Van,
17,Eric Calderon,mjohnson@example.net,"36569 Reyes Track Apt. 951
North Seanland, MT 06735",460.0,+1-859-309-0256x27160,56.0,Bike,JP Nagar
18,Jo Kramer,nicholas74@example.com,"291 Michael Isle Apt. 391
Clarkbury, OK 30984",6564.0,796.903.3820x743,47.0,,Marathalli
19,Ashley Carlson,markhodge@example.com,"1893 Bates Walks
East Amyview, FM 77214",8596.0,947-379-9075x059,46.0,Scooter,
20,Reginald Williams,ymoore@example.net,"Unit 8210 Box 9342
DPO AE 45097",8050.0,719-348-3975x26582,18.0,Bus,Silkboard
21,Christopher Castillo,samanthagomez@example.net,"1231 Karen Dam
Port Colleen, AL 88078",7958.0,487-613-6628x59178,,,Silkboard
22,Megan Meyer,ritterkatelyn@example.net,,396.0,585.531.5437x50556,51.0,Bike,Bellandur
23,Erik Byrd,moralessusan@example.net,"3017 Taylor Ridges Apt. 484
East Shelbystad, VI 39165",7240.0,(992)695-0025,70.0,Truck,Marathalli
24,Shawn Butler,jonathanwilliamson@example.org,"71008 Gonzalez Mount
Terryland, IL 09570",811.0,001-492-672-6693x86456,80.0,Car,
25,Vincent Moore,rhowell@example.net,"6671 Henderson Avenue
Johnsonchester, AZ 97565",287.0,222.538.4270x672,27.0,Van,Koramangalla
26,Stephen Watson,kristopher47@example.org,"033 Sean Bypass
Pamelatown, VT 97163",6385.0,285-795-6859x11884,33.0,Van,Bellandur
27,Jennifer Smith,karenibarra@example.org,,3434.0,697.599.0999,72.0,Bike,Bellandur
28,Jennifer Owens,,"63354 Nelson Underpass Suite 728
Nathanshire, OK 30789",8362.0,001-284-992-9598x5215,66.0,Van,Silkboard
29,Daniel Mcgrath,kathrynhartman@example.net,"5369 Snyder Turnpike
Jonesbury, MP 49806",2238.0,860-841-6210,60.0,Car,Bellandur
30,Jennifer Hart,jbrown@example.org,"0447 John Mount
Michaelview, NM 64695",7920.0,397-979-1776x37061,41.0,Scooter,
31,Olivia Burke,franklinmichelle@example.com,,6739.0,870.783.6098,64.0,Bike,
32,,lstanley@example.net,,,570.372.6709x819,47.0,Car,Bellandur
